id,commit_hash,reviewer,is_bug_fixing_commit,is_obvious_bug,is_safety_related,type_of_safety_related,comment,link_visited
1,ddec8ed2d4905d0967ce2ec432e440e582aa52c6,Michel,true,unknown,unknown,none,Looks like a fix but I'm not sure about the classification,true
2,494603e06b3c8c0b29086b72f0bc41abf102fe0d,Michel,true,unknown,unknown,none,Looks like a fix but not enough info,true
3,cd36722d74733b748ae812e37dcfe035b420de67,Michel,true,unknown,unknown,none,Looks like a fix but not enough info,true
4,c6af53f038aa32cec12e8a305ba07c7ef168f1b0,Michel,false,none,none,none,Only add helpers,false
5,7d4a101c0bd3c6e5c6e45c705a54f7bc8f6c128d,Michel,false,none,none,none,Only add sanity check,false
6,9b648bb1d89ef058196cff4fe3bd678ab7ebdb19,Michel,false,none,none,none,Only add debug print,false
8,c579792562837ec2e64b006cfc9423e4177a4d26,Michel,false,none,none,none,It seems to simply change how files/functions are displayed,false
9,319fdbc9433c6a74fdb3993c9f5d9a1334068a21,Michel,false,none,none,none,Move functions to new files (no new functionality or fixes),false
10,370d988cc529598ebaec6487d4f84c2115dc696b,Michel,false,none,none,none,Considered a fix but really just avoids a warning.,false
11,19629ae482f1800b50a5bdf2504ac57171d2bb82,Michel,true,unknown,unknown,none,Looks like a fix but no enough info,true
12,84cc69589700b90a4c8d27b481a51fce8cca6051,Michel,true,true,true,Memory,A null-pointer exception fix,true
13,bf08387fb462ac7ab7dd4d3e4ac32728585bf625,Michel,false,none,none,none,A condition is extended to cover only the necessary cases (and a section of code is not executed if it is not necessary).,true
14,7fcf8a0050df003776d10602c9c52b57212f3345,Michel,false,none,none,none,Only remove a warn flag,false
15,462b728ea83fa85f1c0d2b79efb6187745444ce5,Michel,false,none,none,none,Looks-like a refactor,true
16,6184f15d877c6fec0af43ef3e10c10183758263d,Michel,false,none,none,none,Only remove comments,true
17,ecd1a5f62eed35d812de8fe20703e21b551c6560,Michel,false,none,none,none,There was a commented code and it is uncommented,true
18,20f3507fdbf918353fc748aa99756955b8a273fa,Michel,false,none,none,none,Only add a prefix in a config file,true
19,5f2f539901b0d9bda722637521a11b7f7cf753f1,Michel,true,unknown,unknown,none,Indicated as a "Correct" but i didnt understand the change,true
20,c0e582de6066e97c83a466f0e5983e3148123526,Michel,false,none,none,none,An unreachable code is deleted,true
21,62d5f9f7110ad374db67ab4820f4ff2d916c3cdb,Michel,false,none,none,none,It appears to fix a change introduced earlier; in this case to supplement a case not contemplated. I am not sure to what extent it is a fix,true
22,88db8458086b1dcf20b56682504bdb34d2bca0e2,Michel,true,unknown,unknown,none,There are too many changes in this merge. It seems to include some fixes but each one may be completely different,true
23,50b620303a14e885529410d26800f92a735724d6,Michel,false,none,none,none,A condition is added so that when there are no interruptions; the code continues (saves time),true
25,4ceca42d396eb5b7a80301e7d49a6d0012a17a43,Michel,true,unknown,true,Exchange of Information,Looks like a fix on bus Â¿maybe a safety-relelated?,true
26,77dbd72b982ca648b42b4feac5f8b2ea55e4ed09,Michel,false,none,none,none,Does not look like a fix,true
27,3ac5f2f2574a8b9e219bb5872166e5db797e349d,Michel,false,none,none,none,It only adds a description to a parameter (comment),true
28,0046686da0ef692a6381260c3aa44291187eafc9,Michel,true,true,true,Timing and execution,There appears to be an error forcing the system to exit. A flag is added to a command to avoid it,true
29,da8c94c065174099853a207d9716a49d339b265f,Michel,false,none,none,none,A variable is renamed,true
30,62b488875c0551822ac3b961d04800d4c7a655d9,Michel,false,none,none,none,Not enough info,true
31,fde212e44f45e491f8e3875084b587c0c2189078,Michel,false,none,none,none,Only rename variables,false
52,801db90bf294f647b967e8d99b9ae121bea63d0d,Michel,false,none,none,none,Change oriented to debug,true
53,18deddea9184b62941395889ff7659529c877326,Michel,true,false,true,Timing and execution,Corrected a block of code that should be protected with a lock,true
54,c4d7f40b250c1a4d74ed259e84807f58032507b6,Michel,false,none,none,none,Add new func (macro),true
55,ff4b8cad3a81b3e55b143c689686134d134e2416,Michel,false,none,none,none,Not a fix,true
56,d6986ce24fc00b0638bd29efe8fb7ba7619ed2aa,Michel,false,none,none,none,Fixed a bug in the comprehension of some components ,true
57,73c7c8f68e7266bd558227bd9c598cb90b1673cc,Michel,false,none,none,none,Not a fix,true
58,a21864486f7e220bd5938c6fb637613d9635739a,Michel,true,unknown,unknown,none,It looks like a fix but I'm not sure I understand what it fixes.,true
59,202470d536b2cad22fa859f3e01202571c49ded9,Michel,true,false,unknown,none,Seems to fix a performance problem,true
60,7fd350f6ff846f788ba5f6668bacf2ce4257ed8f,Michel,true,unknown,unknown,none,There are too many changes in this merge. It seems to include some fixes but each one may be completely different.,true
61,e5a1fd997cc2deda1b08d5faae04625de0440a1e,Michel,false,none,none,none,It is a refactoring that eliminates unnecessary code.,true
62,03c82e80ec283b115c56026ecdb95c901a57c51e,Michel,true,unknown,unknown,none,There are too many changes in this merge. It seems to include some fixes but each one may be completely different.,true
63,ebe0582bee78e221b7d9f09ff22a530e0ddd6c96,Michel,false,none,none,none,Simplify code,true
64,ac46d93235074a6c5d280d35771c23fd8620e7d9,Michel,true,unknown,true,Timing and execution,Reversed a change that caused the program to hang,true
65,da123016ca8cb5697366c0b2dd55059b976e67e4,Michel,true,false,true,Timing and execution,A bug that could lead to a system hangs has been fixed. ,true
66,d01ffb9eee4af165d83b08dd73ebdf9fe94a519b,Michel,true,false,true,Timing and execution,It is indicated that there is a co-occurrence problem if a section of code is not protected with locks.,true
67,5352859b3bfa0ca188b2f1d2c1436fddc781e3b6,Michel,true,unknown,true,Exchange of Information,Fixed a bug that could break non-TCP/UDP traffic.,true
68,80110bbfbba6f0078d5a1cbc8df004506db8ffe5,Michel,true,true,unknown,none,It is detected that the table counter is not updated correctly. ,true
69,fbe7e520036583a783b13ff9744e35c2a329d9a4,Michel,false,none,none,none,It is not clear to me,true
70,6a4d333d540041d244b2fca29b8417bfde20af81,Michel,false,none,none,none,I'm not sure; it doesn't look like a bug-fix.,true
71,0d7c1153d9291197c1dc473cfaade77acb874b4b,Michel,false,none,none,none,A warning is removed,false
72,439cf34c8e0a8a33d8c15a31be1b7423426bc765,Michel,true,true,unknown,none,A fix to avoid NPE,true
73,5c23b3f965bc9ee696bf2ed4bdc54d339dd9a455,Michel,true,unknown,unknown,none,Looks like a fix; but I don't udestand the the func,true
74,10af115646171afc0217177d6eae92917b785897,Michel,true,true,unknown,none,The issue and the fix is simple; but I don't know if this could result on a system hang,false
75,b1e8206582f9d680cff7d04828708c8b6ab32957,Michel,true,true,true,Timing and execution,Fix a race condition. ,false
103,226231544f937e3bbb05b73c10556f17172f1a4d,Michel,true,unknown,unknown,none,Fix a clock ,true
104,1278d17a1fb860e7eab4bc3ff4b026a87cbf5105,Michel,true,true,false,none,It is a change that tries to include some cases not contemplated so far.,true
105,d920eaa4c4559f59be7b4c2d26fa0a2e1aaa3da9,Michel,true,unknown,unknown,none,Looks like a fix; but I don't understand exactly the code,true
106,9bdeaca18bf61d55029277bb35f72c2002c88c4d,Michel,true,true,false,none,This merge include 2 changes that looks like a fix. Add a condition to check that CONFIG_PPC_64S_HASH_MMU is set so don't trigger a build failure. I think that a build failure is not a Safety-Related Bug,true
107,25875aa71dfefd1959f07e626c4d285b88b27ac2,Michel,false,none,none,none,Just add a print for a log ,true
108,cc71d37fd1f11e0495b1cf580909ebea37eaa886,Michel,true,false,true,Memory,Fix a memory leak,true
109,c51abd96837f600d8fd940b6ab8e2da578575504,Michel,true,true,false,none,A parameter validation is fixed,true
110,16860a209cf1ad20a3b454b1c56d64c9ea9532ac,Michel,false,none,none,none,A redundant check is deleted,true
111,f2c281204b47309534f26dc63cee2a130c2b497b,Michel,false,none,none,none,Just add a waning,false
112,4fecb1e93e4914fc0bc1fb467ca79741f9f94abb,Michel,true,true,false,none,Support for a new device is added; but it seems to indicate that this solves a problem when used on this device.,true
113,b1bbd3a57b94889cd17147f5594db7f0652275ef,Michel,false,none,none,none,Just a documentation change,false
114,95e6060c20a7f5db60163274c5222a725ac118f9,Michel,false,none,none,none,Code that is no longer used is removed,true
115,78e3437450be5236c4949e377c9b848bbcd4fcb0,Michel,true,unknown,false,none,"From the message, it does not look like a fix. However; it is indicated that it is with the Fixes field. A condition is added in the code",true
116,dc8e2021da71f6b2d5971f98ee3e528cf30c409c,Michel,false,none,none,none,It appears to move code with no indication that anything is being fixed.,true
117,86c2457a8e8112f16af8fd10a3e1dd7a302c3c3e,Michel,true,unknown,false,none,It seems to indicate that it is a fix,true
118,67b56134ce03e0defe67a7d01f88119b49dc4392,Michel,false,none,none,none,It seems that the PR only includes cleanups,true
119,7c68c2c761d157203b64ebbb61dd7b5b6c32df61,Michel,false,none,none,none,Just a re-order,false
120,f86380b797834bed6cd55c6c1f49a590356ec828,Michel,false,none,none,none,Change in documentation,false
121,ba1d263af1c034baf479bca14d6f715b713214b1,Michel,false,none,none,none,Add new func,true
122,1847e3046c528bd85bd51e2860f4139bd9052d6c,Michel,false,none,none,none,Add new func,true
123,8126b1c73108bc691f5643df19071a59a69d0bc6,Michel,true,false,unknown,none,A traffic light was added to a section of code that was already atomic. The change is reverted,true
124,cc5095747edfb054ca2068d01af20be3fcc3634f,Michel,false,none,none,none,It seems that it tries to give a warning instead of an error for a certain bug. It is not clear to me that it actually fixes the bug.,true
125,5641ace54471cb5c393e71f33232088602455c6b,Michel,false,none,none,none,Just add info to debug,true
126,61cc4534b6550997c97a03759ab46b29d44c0017,Michel,true,false,true,Memory,Fixes a bug that could allow access to non-valid memory,false
127,da0efe30944476275c902c52fbac812db0541d87,Michel,false,none,none,none,Just a simplification of the code,false
128,7ea0d2d79da09d1f7d71c96a9c9bc1b5229360b5,Michel,true,false,false,none,Fixes a bug that prevents memory from being added to a group list when the record for that block has actually failed,false
129,b51aa532e105722d0dfb21718f0b32780c9e8e8d,Michel,false,none,none,none,A bool is changed to return a bool instead of an int,true
130,da15b409ef4c56e9741deddb91798370802d1d02,Michel,false,none,none,none,Add suport for an extra driver,false
131,f17bc788f7b97c36b8f3fbef14555a2a16ee3f69,Michel,false,none,none,none,It looks like a refactoring of a condition,true
132,bb682f7a91af08f1fdb669d3911978d7166a65d1,Michel,false,none,none,none,Does not look like a fix,true
133,feb00b736af64875560f371fe7f58b0b7f239046,Michel,true,unknown,false,none,It seems that it was introduced as a condition that a controller had to have read/write permissions when it really only needed to have at least one of the two.,true
134,2acfab7101140e93928a61ca48d7e442aa538dd7,Michel,false,none,none,none,An unneeded memory allocation is deleted,true
135,d5dd781bcc81aa31b62310927f25cfa2574450f1,Michel,true,unknown,false,none,Negative return error codes are added; as it seems to solve a problem.,true
136,de24d97fb845ffd2229811ee256438e42b5a8d12,Michel,false,none,none,none,Expansion of the list of devices,true
137,455c5653f50e10b4f460ef24e99f0044fbe3401c,Michel,true,false,true,Timing and execution,Deadlock fix,true
138,442c7128219b1769af5685c5453b13711f6b84e2,Michel,false,none,none,none,Change static function to class function,true
139,ad1c2f39fda0acb51b5a93604c5e1a703b849a7d,Michel,false,none,none,none,Use add instead of pop to counter (not a fix),true
140,b50113cbdd1340c31e85e4cfc5f5e81ce9cbb2aa,Michel,false,none,none,none,Just add new feature,false
141,a15e367b02543f96ae845baf7be4526080437305,Michel,false,none,none,none,Not a fix; but dont understand the change ,true
142,c65d68e7e95a39da31d64d67d5bea6550b91fb43,Michel,false,none,none,none,Just add an entry to a map,true
143,ea90330fa329e4bee009223a1d5a7d9bcc364df2,Michel,false,none,none,none,Maybe is a fix; maybe not. Just extend a check for a specific case,true
144,ebbb07b8d349fc2eccb67780850d2d1bbfc918d6,Michel,false,none,none,none,Add extra func,true
145,363e52998c839ce77d7d5dd6f3e575bb68449afd,Michel,false,none,none,none,Patch that add support to a device,true
146,eb893e34309ce2153003f3f2a13cdbfdea939e00,Michel,false,none,none,none,Add support,true
147,a3a59919ab662682a2cb77b25b0f7b9e6c78737e,Michel,false,none,none,none,Add new clock ,true
148,51911d1c1bb3e30b57e3af1072a3b6e583f3df5f,Michel,false,none,none,none,Just add a binding (adding support),true
149,18c91bb2d87268d23868bf13508f5bc9cf04e89a,Michel,false,none,none,none,Remove unnecesary code,true
150,e45cce30eade14cdc1a98a9c1cd51f3294e3597b,Michel,false,none,none,none,An adjustment to ensure that no workers are left uncleaned,true
151,c4816a1b7fed3c000b37ad6516f65aad8bc5fba6,Michel,false,none,none,none,Test change,true
152,f1d98f346ee34ef41369ace9f91fc4f46a3e30cb,Michel,false,none,none,none,Looks like that just expose some functionality to make it accesible,true
153,ab14f1802cfb2d7ca120bbf48e3ba6712314ffc3,Michel,false,none,none,none,I do not understand the change,true
154,3265f421887847db9ae2c01a00645e33608556d8,Michel,false,none,none,none,It seems to only add support,false
155,3268ee8f5bc4b450cdbe4a29a8b039ca6531048c,Michel,false,none,none,none,Many changes on the PR; I didn't see fixes on them,true
156,88590b369354092183bcba04e2368010c462557f,Michel,false,none,none,none,Just add comments,true
157,920a9fa27e7805499cfe78491b36fed2322c02ec,Michel,false,none,none,none,It seems that it only adds error handling (sanity check); although it is indicated as a fix.,true
158,e66d117222047ea90f92e065f929bc0e0eec3647,Michel,false,none,none,none,Performance improvement,true
159,e2f736b753ecb70174f862aa040184e85c158255,Michel,false,none,none,none,Performance improvement,true
160,038fcdaf0470de89619bc4cc199e329391e6566c,Michel,true,true,unknown,none,A division that could have a denominator of 0 is fixed.,true
161,50fc9786b25cf0a39f22a599b05b29a32b76034d,Michel,false,none,none,none,Many changes on the PR; I didn't see fixes on them,true
162,da7af0aa20f8ad89f09d50d262e44cd5eafab816,Michel,true,unknown,unknown,none,Clearly a fix; but I don't quite understand it.,true
163,c1ea345deda86cd5a1e19ca84ec3c75c3db2bc59,Michel,false,none,none,none,Just a refactor,true
164,bf08d58543415f5e31a0e7a6401abcdd76826847,Michel,false,none,none,none,Performance improvement,true
165,1b8c924a05934d2e758ec7da7bd217ef8ebd80ce,Michel,true,false,unknown,none,Ensures that a memory release occurs,true
166,12b1b997c0e5604f1a5c081f51ff67f4c814b7dd,Michel,true,false,unknown,none,It looks like a fix; it tries to fix that a driver does not restart because a variable is not set correctly.,true
167,b9e8b58fd2cb30cb6e01d72c7d32286810a9bca9,Michel,false,none,none,none,Just add func,true
168,2d1d548ec14478fc9705d8e1e5a8fe35933e54f0,Michel,false,none,none,none,Only one property is added to indicate that the driver is no-legacy,true
169,a3662007a12edde4d3291fc60c42e6b5d01ced5e,Michel,false,none,none,none,Add new func,true
170,c3cde44f3c6e44ce42368066dede0bc3c9b1952a,Michel,false,none,none,none,Just use names (vars) instead of numbers,true
171,589a07b8eb49e5293c42cb40100eb9ee02731faf,Michel,false,none,none,none,Add new func,true
172,0eb4e7ee1655b7ffd3204a35d77b809d42613cb9,Michel,false,none,none,none,It looks like just a change in the trace,true
173,2c9ec169f70bb13f71cf91cf018680e6e4fc8ce6,Michel,false,none,none,none,A refactor to clean code,true
174,3e18bcb778e636045e091ddc09c2b69594bc844c,Michel,true,unknown,unknown,none,"Many changes on the PR, i see some fix on them, but hard to identify it",true
175,5dca295dd76756c7918ad7113fc4a3cf8262ed43,Michel,false,none,none,none,Just add support,false
176,176989b412b6429dd60091174a6fee9344d71706,Michel,false,none,none,none,Improvement change,true
177,86371b735f5821503b83360d72b6bdb044551779,Michel,false,none,none,none,Remove unused code,false
178,6f50ebf280be67c7eacd229080b82496e1077ff0,Michel,true,unknown,false,none,"Looking at the comment, this commit include 2 fixes, but I don't undestand how dts files works",true
