commit_link,Did this fix a bug?,Safety relevant bug?,Timing + Execution,Memory,Exchange of Info,Reasoning
https://github.com/torvalds/linux/commit/f6007dce0cd35d634d9be91ef3515a6385dcee16,yes,no?,no,no?,no,locking and reference fix in dm layer
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,yes,maybe?,no,yes,no,scsi driver fix for lock after free
https://github.com/torvalds/linux/commit/71996bb835aed58c7ec4967be1d05190a27339ec,yes,no?,no,no,maybe?,fixes specific scsi scanning bug
https://github.com/torvalds/linux/commit/e4e14095cc68a2efefba6f77d95efe1137e751d4,no,no?,no,no,no,removed unnecessary work already done elsewhere
https://github.com/torvalds/linux/commit/75b2f7e4c9e0fd750a5a27ca9736d1daa7a3762a,yes,no,no,no,no,removes warning due to linker output
https://github.com/torvalds/linux/commit/52954b750958dcab9e44935f0c32643279091c85,yes,yes,,,,fixes gfs2 locking bug over suspend/resume
https://github.com/torvalds/linux/commit/86e16b87afac20779da1228d690a95c54d7e2ad0,yes,no,no,no,no,build configuration dependency issue
https://github.com/torvalds/linux/commit/f530ee95b72e77b09c141c4b1a4b94d1199ffbd9,yes,no,no,no,no,reliable boot failure if pagetable size is set to 5 levels
https://github.com/torvalds/linux/commit/df203da47f4428bc286fc99318936416253a321c,no,no,no,no,no,kernel page allocation api change
https://github.com/torvalds/linux/commit/98a15816636044f25be4644db2a3e09fad68aaf7,yes,no,,,,build configuration dependency issue
https://github.com/torvalds/linux/commit/c8414dab164a74bd3bb859a2d836cb537d6b9298,yes,yes,no,yes,no,bad memory de-reference may destabilise system
https://github.com/torvalds/linux/commit/06ed09351b67eb1114ae106a87a0ee3ea9adb3db,no,no,no,yes,no,kernel page allocation api change
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,yes,yes,,yes,no,possible lock usage on freed memory
https://github.com/torvalds/linux/commit/64be47ba286117ee4e3dd9d064c88ea2913e3269,yes,no,,,,bug is hardware assignment at init time
https://github.com/torvalds/linux/commit/a9ce385344f916cd1c36a33905e564f5581beae9,yes,yes,,yes,,possible sleep in invalid place may cause system hang
https://github.com/torvalds/linux/commit/1bb0763f1eb7dd015989fdc77dea17a349df2ea9,yes,no,,yes,,jbd2 may fail to release memory in error paths
https://github.com/torvalds/linux/commit/ec5fa9fcdeca69edf7dab5ca3b2e0ceb1c08fe9a,yes,yes,,,,resume may send invalid hotplug events
https://github.com/torvalds/linux/commit/5229a658f6453362fbb9da6bf96872ef25a7097e,yes,?,,,,ext4 fstrim may block suspend
https://github.com/torvalds/linux/commit/7908632f2927b65f7486ae6b67c24071666ba43f,yes,yes,,,,fixes deadlock in drm/vkms driver
https://github.com/torvalds/linux/commit/b11243f720ee5f9376861099019c8542969b6318,yes,?,,,,nfs requests may be lost - maybe get retried?
https://github.com/torvalds/linux/commit/ab43213e7afd08ac68d4282060bacf309e70fd14,?,?,,,,not enough info in commit
https://github.com/torvalds/linux/commit/7c6339322ce0c6128acbe36aacc1eeb986dd7bf1,yes,yes,,,,incorrect locking in nfs
https://github.com/torvalds/linux/commit/cfaa80c91f6f99b9342b6557f0f0e1143e434066,yes,yes,,,,possible read of invalid memory / BUG trigger
https://github.com/torvalds/linux/commit/81cc8779cf46d6323c83475706b61d9552230274,yes,no,,,,caller should detect invalid response and retry metrics
https://github.com/torvalds/linux/commit/1832403cd41ca6b19b24e9d64f79cb08d920ca44,?,?,,,,
https://github.com/torvalds/linux/commit/954998b60caa8f2a3bf3abe490de6f08d283687a,yes,?,,,,nfs bugfix
https://github.com/torvalds/linux/commit/6cc834ba62998c65c42d0c63499bdd35067151ec,yes,no,,,,nvme init timeout fix - will always timeout with bad device
https://github.com/torvalds/linux/commit/139a27854bf5ce93ff9805f9f7683b88c13074dc,yes,no,,,,kunit test bug
https://github.com/torvalds/linux/commit/f5b2c10b57615828b531bb0ae56bd6325a41167e,yes,no,,,,backlight bug on certain amd hw during shutdown
https://github.com/torvalds/linux/commit/dae40be7a1a72474e225795c0d6f43a4ac596a3f,yes,?,,,,use after free during driver removal - probably not fatal to the runtime of the system
https://github.com/torvalds/linux/commit/8982f7aff39fb526aba4441fff2525fcedd5e1a3,yes,no,no,no,no,accounting bug on error path
https://github.com/torvalds/linux/commit/a22730b1b4bf437c6bbfdeff5feddf54be4aeada,yes,yes,no,yes,no,could cause errors in the network data quees
https://github.com/torvalds/linux/commit/97e3c6a853f2af9145daf0c6ca25bcdf55c759d4,,,,,,unusre
https://github.com/torvalds/linux/commit/e86fcf0820d914389b46658a5a7e8969c3af2d53,no,no,no,?,,nfs issue where data will be retransmitted - todo check if memory leak?
https://github.com/torvalds/linux/commit/c48ef9c4aed3632566b57ba66cec6ec78624d4cb,yes,?,no,no,yes,network socket lookup with ipv4/ipv6 interaction - 
https://github.com/torvalds/linux/commit/8a81cf96f5510aaf9a65d103f7405079a7b0fcc5,yes,no,no,yes,no,"referencing issue in device-tree node, will cause resources to be kept"
https://github.com/torvalds/linux/commit/25e73b7e3f72a25aa30cbb2eecb49036e0acf066,no,no,yes,no,no,removes extra unused branch protection instructions
https://github.com/torvalds/linux/commit/88956eabfdea7d01d550535af120d4ef265b1d02,yes,yes,nno,yes,no,fixes OOPS if procfs file gets accessed
https://github.com/torvalds/linux/commit/ef064187a9709393a981a56cce1e31880fd97107,yes,?,no,yes,no,fix for amd gpu page-table code for large memory systems
https://github.com/torvalds/linux/commit/df1c357f25d808e30b216188330e708e09e1a412,yes,yes,no,yes,no,nfs oops can be generated at run time
https://github.com/torvalds/linux/commit/12d21fc2ba88e3bb41167afb5c6c0e961f2ab0c9,yes,?,no,yes,no,extra fwnode put -> possibly safety issue on driver remove due to bad resource account
https://github.com/torvalds/linux/commit/8e7f82deb0c0386a03b62e30082574347f8b57d5,yes,yes,no,yes,no,possible runtime failiure in btrfs under user conditions
https://github.com/torvalds/linux/commit/c86e9ae5e3ad82969fe395414d1d9f173f8e9fd4,yes,no,no,no,no,packaging bug so doesn't effect runtime
https://github.com/torvalds/linux/commit/c91774818b041ed290df29fb1dc0725be9b12e83,yes,yes,yes,no,no,specific scsi driver will fail to resume
https://github.com/torvalds/linux/commit/9af86694fd5d387992699ec99007ed374966ce9a,,,,,,?
https://github.com/torvalds/linux/commit/bc6ed2fa24b14e40e1005488bbe11268ce7108fa,yes,yes,no,yes,no,reloading intel network driver may fail due to previous incorrect error free
https://github.com/torvalds/linux/commit/ccf1dab96be4caed7c5235b1cfdb606ac161b996,,,,,,? issue with superblock handling on selinux -> is it an real issue?
https://github.com/torvalds/linux/commit/8cdd9f1aaedf823006449faa4e540026c692ac43,yes,?,no,no,yes,incorrect type truncating argument in ipv6 socket preferences
https://github.com/torvalds/linux/commit/5e7e82254270c8cf8b107451c5de01cee2f135ae,yes,no,no,yes,no,"call fails if device does not support info request, should be caught by testing"
https://github.com/torvalds/linux/commit/1bfb2b618d52e59a4ef1896b46c4698ad2be66b7,yes,?,no,yes,no,riscv kexec issue -> not sure if safety issue? could be transient failure in restart?