commit_link,Name,Did this fix a bug?,Safety relevant bug?,Timing + Execution,Memory,Exchange of Info,Reasoning
https://github.com/torvalds/linux/commit/f6007dce0cd35d634d9be91ef3515a6385dcee16,,,,,,,
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,,,,,,,
https://github.com/torvalds/linux/commit/71996bb835aed58c7ec4967be1d05190a27339ec,,,,,,,
https://github.com/torvalds/linux/commit/e4e14095cc68a2efefba6f77d95efe1137e751d4,,,,,,,
https://github.com/torvalds/linux/commit/75b2f7e4c9e0fd750a5a27ca9736d1daa7a3762a,,,,,,,
https://github.com/torvalds/linux/commit/52954b750958dcab9e44935f0c32643279091c85,,,,,,,
https://github.com/torvalds/linux/commit/86e16b87afac20779da1228d690a95c54d7e2ad0,,,,,,,
https://github.com/torvalds/linux/commit/f530ee95b72e77b09c141c4b1a4b94d1199ffbd9,,,,,,,
https://github.com/torvalds/linux/commit/df203da47f4428bc286fc99318936416253a321c,,,,,,,
https://github.com/torvalds/linux/commit/98a15816636044f25be4644db2a3e09fad68aaf7,,,,,,,
https://github.com/torvalds/linux/commit/c8414dab164a74bd3bb859a2d836cb537d6b9298,Chris Phang,yes,yes,no,yes,no,"NULL pointer dereference bug in eventfs, which is used for tracing"
https://github.com/torvalds/linux/commit/06ed09351b67eb1114ae106a87a0ee3ea9adb3db,,,,,,,
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,,,,,,,
https://github.com/torvalds/linux/commit/64be47ba286117ee4e3dd9d064c88ea2913e3269,,,,,,,
https://github.com/torvalds/linux/commit/a9ce385344f916cd1c36a33905e564f5581beae9,,,,,,,
https://github.com/torvalds/linux/commit/1bb0763f1eb7dd015989fdc77dea17a349df2ea9,,,,,,,
https://github.com/torvalds/linux/commit/ec5fa9fcdeca69edf7dab5ca3b2e0ceb1c08fe9a,Weyman,no,no,yes,no,no,"About adjusting flow of something, an optimization"
https://github.com/torvalds/linux/commit/5229a658f6453362fbb9da6bf96872ef25a7097e,,,,,,,
https://github.com/torvalds/linux/commit/7908632f2927b65f7486ae6b67c24071666ba43f,,,,,,,
https://github.com/torvalds/linux/commit/b11243f720ee5f9376861099019c8542969b6318,,,,,,,
https://github.com/torvalds/linux/commit/ab43213e7afd08ac68d4282060bacf309e70fd14,Paul Sherwood,yes,no,,,,the commit message doesn't give enough info to understand this
https://github.com/torvalds/linux/commit/7c6339322ce0c6128acbe36aacc1eeb986dd7bf1,,,,,,,
https://github.com/torvalds/linux/commit/cfaa80c91f6f99b9342b6557f0f0e1143e434066,,,,,,,
https://github.com/torvalds/linux/commit/81cc8779cf46d6323c83475706b61d9552230274,,,,,,,
https://github.com/torvalds/linux/commit/1832403cd41ca6b19b24e9d64f79cb08d920ca44,,,,,,,
https://github.com/torvalds/linux/commit/954998b60caa8f2a3bf3abe490de6f08d283687a,,,,,,,
https://github.com/torvalds/linux/commit/6cc834ba62998c65c42d0c63499bdd35067151ec,,,,,,,
https://github.com/torvalds/linux/commit/139a27854bf5ce93ff9805f9f7683b88c13074dc,,,,,,,
https://github.com/torvalds/linux/commit/f5b2c10b57615828b531bb0ae56bd6325a41167e,,,,,,,
https://github.com/torvalds/linux/commit/dae40be7a1a72474e225795c0d6f43a4ac596a3f,Gavin McCall,yes,yes,yes,,,use after free
https://github.com/torvalds/linux/commit/8982f7aff39fb526aba4441fff2525fcedd5e1a3,,,,,,,
https://github.com/torvalds/linux/commit/a22730b1b4bf437c6bbfdeff5feddf54be4aeada,Aidan MacDonald,yes,yes,no,yes,yes,looks like possible data corruption in networking related code
https://github.com/torvalds/linux/commit/97e3c6a853f2af9145daf0c6ca25bcdf55c759d4,,,,,,,
https://github.com/torvalds/linux/commit/e86fcf0820d914389b46658a5a7e8969c3af2d53,,,,,,,
https://github.com/torvalds/linux/commit/c48ef9c4aed3632566b57ba66cec6ec78624d4cb,,,,,,,
https://github.com/torvalds/linux/commit/8a81cf96f5510aaf9a65d103f7405079a7b0fcc5,,,,,,,
https://github.com/torvalds/linux/commit/25e73b7e3f72a25aa30cbb2eecb49036e0acf066,,,,,,,
https://github.com/torvalds/linux/commit/88956eabfdea7d01d550535af120d4ef265b1d02,Gavin McCall,yes,?,yes,,,NULL pointer is dereferenced
https://github.com/torvalds/linux/commit/ef064187a9709393a981a56cce1e31880fd97107,Anton Pyntikov,yes,yes,yes,yes,,Memory corruption if phys addr beyond 64Gb
https://github.com/torvalds/linux/commit/df1c357f25d808e30b216188330e708e09e1a412,,,,,,,
https://github.com/torvalds/linux/commit/12d21fc2ba88e3bb41167afb5c6c0e961f2ab0c9,,,,,,,
https://github.com/torvalds/linux/commit/8e7f82deb0c0386a03b62e30082574347f8b57d5,,,,,,,
https://github.com/torvalds/linux/commit/c86e9ae5e3ad82969fe395414d1d9f173f8e9fd4,,,,,,,
https://github.com/torvalds/linux/commit/c91774818b041ed290df29fb1dc0725be9b12e83,Aidan MacDonald,yes,??,??,no,??,SCSI adapter drops all drives after suspend/resume cycle
https://github.com/torvalds/linux/commit/9af86694fd5d387992699ec99007ed374966ce9a,,,,,,,
https://github.com/torvalds/linux/commit/bc6ed2fa24b14e40e1005488bbe11268ce7108fa,Aidan MacDonald,yes,??,??,??,??,rmmod of module causes hang or crash
https://github.com/torvalds/linux/commit/ccf1dab96be4caed7c5235b1cfdb606ac161b996,,,,,,,
https://github.com/torvalds/linux/commit/8cdd9f1aaedf823006449faa4e540026c692ac43,,,,,,,
https://github.com/torvalds/linux/commit/5e7e82254270c8cf8b107451c5de01cee2f135ae,Adnan Chowdhury,yes,yes,,,,This fixes a null pointer reference error on some systems with APU
https://github.com/torvalds/linux/commit/1bfb2b618d52e59a4ef1896b46c4698ad2be66b7,,,,,,,